iter	Passed	Remaining
0	48	48055
1	49	24703
2	51	16999
3	52	13105
4	54	10750
5	55	9199
6	56	8070
7	58	7210
8	59	6511
9	59	5935
10	60	5469
11	61	5073
12	62	4742
13	63	4459
14	64	4209
15	64	3993
16	65	3805
17	66	3636
18	68	3512
19	68	3366
20	69	3235
21	70	3114
22	70	3004
23	71	2904
24	72	2813
25	72	2727
26	73	2649
27	74	2577
28	74	2506
29	75	2441
30	76	2380
31	76	2322
32	77	2266
33	77	2212
34	78	2164
35	79	2116
36	79	2070
37	80	2027
38	80	1988
39	81	1949
40	81	1913
41	82	1878
42	82	1844
43	83	1813
44	84	1783
45	84	1753
46	85	1725
47	85	1698
48	86	1672
49	86	1647
50	87	1622
51	87	1599
52	88	1576
53	88	1554
54	89	1535
55	89	1514
56	90	1495
57	90	1477
58	91	1458
59	92	1441
60	92	1424
61	93	1408
62	93	1392
63	94	1376
64	94	1361
65	95	1347
66	95	1333
67	96	1320
68	96	1307
69	97	1294
70	97	1282
71	98	1269
72	99	1257
73	99	1245
74	100	1234
75	100	1223
76	101	1212
77	101	1201
78	102	1191
79	102	1180
80	103	1171
81	103	1161
82	103	1148
83	104	1139
84	105	1130
85	105	1122
86	106	1114
87	106	1106
88	107	1097
89	107	1089
90	108	1081
91	108	1073
92	109	1066
93	109	1058
94	110	1051
95	110	1044
96	111	1037
97	111	1030
98	112	1023
99	113	1017
100	113	1010
101	114	1005
102	114	999
103	115	992
104	115	986
105	116	980
106	116	975
107	117	969
108	117	963
109	118	958
110	119	953
111	119	947
112	120	942
113	120	937
114	121	932
115	121	927
116	122	922
117	122	917
118	123	912
119	123	907
120	124	903
121	124	897
122	125	892
123	125	888
124	126	884
125	126	880
126	127	875
127	127	870
128	128	866
129	128	862
130	129	858
131	129	854
132	130	850
133	131	847
134	131	843
135	132	839
136	132	836
137	133	832
138	133	828
139	134	825
140	134	821
141	135	816
142	135	813
143	136	809
144	136	806
145	137	803
146	137	800
147	138	796
148	138	793
149	139	790
150	139	787
151	140	784
152	141	781
153	141	777
154	142	774
155	142	771
156	143	768
157	143	766
158	144	763
159	144	760
160	145	756
161	145	753
162	146	751
163	146	748
164	147	745
165	147	743
166	148	740
167	149	738
168	149	735
169	150	732
170	150	730
171	151	727
172	151	725
173	152	722
174	152	720
175	153	718
176	153	715
177	154	713
178	154	710
179	155	708
180	156	706
181	156	703
182	157	701
183	157	699
184	158	697
185	158	694
186	159	692
187	159	690
188	160	688
189	160	686
190	161	683
191	161	681
192	162	679
193	163	677
194	163	675
195	164	673
196	164	671
197	165	669
198	165	667
199	166	665
200	167	664
201	167	662
202	168	660
203	168	658
204	169	656
205	169	655
206	170	653
207	171	651
208	171	649
209	172	648
210	172	646
211	173	644
212	173	642
213	174	641
214	175	639
215	175	637
216	176	635
217	176	633
218	177	632
219	177	630
220	178	629
221	179	627
222	179	625
223	180	624
224	182	627
225	182	625
226	183	623
227	183	622
228	184	620
229	185	619
230	185	618
231	186	616
232	186	614
233	187	613
234	187	611
235	188	610
236	188	608
237	189	606
238	190	605
239	190	603
240	191	601
241	191	600
242	192	598
243	192	597
244	193	595
245	193	594
246	194	592
247	194	591
248	195	589
249	196	588
250	196	586
251	197	585
252	197	583
253	198	582
254	198	580
255	199	579
256	200	579
257	201	578
258	201	577
259	202	575
260	202	574
261	203	573
262	204	571
263	204	570
264	205	569
265	205	567
266	206	566
267	206	564
268	207	563
269	207	562
270	208	560
271	209	559
272	209	558
273	210	556
274	210	555
275	211	554
276	211	552
277	212	551
278	212	549
279	213	548
280	213	547
281	214	546
282	215	545
283	215	543
284	216	542
285	216	541
286	217	539
287	217	538
288	218	537
289	218	536
290	219	534
291	220	533
292	220	532
293	221	531
294	221	530
295	222	529
296	223	527
297	223	526
298	224	525
299	224	524
300	225	523
301	225	522
302	226	521
303	227	519
304	227	518
305	228	517
306	228	516
307	229	515
308	229	513
309	230	512
310	230	511
311	231	510
312	231	509
313	232	507
314	233	506
315	233	506
316	234	505
317	235	504
318	235	503
319	236	501
320	236	500
321	237	499
322	237	498
323	238	497
324	238	496
325	239	495
326	239	493
327	240	492
328	241	491
329	241	490
330	242	489
331	242	488
332	243	487
333	243	486
334	244	484
335	244	483
336	245	482
337	245	481
338	246	480
339	246	479
340	247	478
341	248	477
342	248	476
343	249	475
344	249	474
345	250	472
346	250	471
347	251	470
348	251	469
349	252	468
350	252	467
351	253	466
352	253	465
353	254	464
354	255	463
355	255	462
356	256	461
357	256	460
358	257	459
359	257	458
360	258	457
361	259	456
362	259	455
363	260	454
364	260	453
365	261	452
366	262	452
367	262	451
368	263	450
369	263	449
370	264	448
371	264	447
372	265	446
373	265	445
374	266	444
375	267	443
376	267	442
377	268	441
378	268	440
379	269	439
380	269	438
381	270	437
382	270	436
383	271	435
384	272	434
385	272	433
386	273	432
387	273	431
388	274	430
389	274	429
390	275	428
391	275	427
392	276	426
393	276	425
394	277	425
395	278	424
396	278	423
397	279	422
398	279	421
399	280	420
400	280	419
401	281	418
402	281	417
403	282	416
404	282	415
405	283	414
406	284	413
407	284	412
408	285	411
409	285	410
410	286	410
411	286	409
412	287	408
413	287	407
414	288	406
415	288	405
416	289	404
417	289	403
418	290	402
419	291	401
420	291	400
421	292	400
422	292	399
423	293	398
